Keyword Stats 2026-08-09 at 01_46_46
July 1, 2025 - June 30, 2026
Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026
		All	25490.0																						
best date night perfume for women	USD		70.0	29%	125%	High	100	0.11	1.31					70	50	70	50	70	70	40	70	70	70	70	90
best face cream for mature skin	USD		14800.0	0%	49%	High	100	0.43	2.77					12100	12100	12100	14800	14800	14800	18100	14800	18100	14800	14800	14800
best setting spray for long lasting makeup	USD		260.0	22%	86%	High	74	0.16	1.03					260	260	260	320	260	170	260	260	320	320	320	390
how to get glowy bronzed skin without tan	USD																								
how to keep makeup from creasing or melting	USD																								
how to use bronzing drops with moisturizer	USD																								
how to use overnight mask	USD		70.0	-29%	-44%	Low	27							70	70	70	50	70	70	90	70	70	70	50	50
lifting and firming serum for sagging skin	USD																								
long lasting eau de parfum for women	USD		390.0	-56%	600%	High	97	0.04	0.63					210	170	110	110	70	260	590	1000	480	480	880	210
luxury anti aging skincare routine	USD																								
maison margiela replica fragrances ranked	USD																								
skin barrier repair cream	USD		9900.0	-18%	83%	High	95	0.23	2.00					8100	6600	8100	8100	9900	8100	9900	9900	18100	14800	12100	12100
sweet gourmand floral perfume recommendations	USD																								
travel size skincare routine	USD																								
wedding makeup setting spray waterproof	USD																								
